Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
  Net loans and leases,"2,016,092","2,105,462","2,156,834","2,224,360","2,249,720","2,307,225","2,368,590","2,428,289","2,447,324","2,488,395","2,504,175","2,587,494","2,568,992","2,597,153","2,642,825","2,690,933","2,726,856","2,783,183","2,829,234","2,886,227","2,866,582","2,905,422","2,923,269","2,924,715","2,880,143","2,896,124","2,906,968","2,870,689","2,820,355","2,784,176","2,746,766","2,724,795","2,692,492","2,670,458","2,654,877","2,628,389","2,607,726","2,649,409","2,678,356","2,724,270","2,723,919","2,787,440","2,854,562","2,942,674","3,015,128","3,089,204","3,153,496","3,200,417","3,231,694","3,300,199","3,367,746","3,442,775","3,404,798","3,501,263","3,543,632","3,611,332","3,669,381","3,733,193","3,792,034","3,893,682","3,912,731","3,985,506","4,061,977","4,184,798","4,274,384","4,433,776","4,531,386","4,571,912","4,605,636","4,645,118","4,653,973","4,681,195","4,668,921","4,737,190","4,868,657","4,967,939","5,039,484","5,163,830","5,248,566","5,349,014","5,464,270","5,699,100","5,897,624","6,038,664","6,120,970","6,326,016","6,497,720","6,640,835","6,786,383","6,982,339","7,090,050","7,156,650","7,199,142","7,385,337","7,616,836","7,803,769","7,846,642","7,851,491","7,816,777","7,684,516","7,539,548","7,414,099","7,194,551","7,053,217","7,239,614","7,144,305","7,147,246","7,143,871","7,030,837","7,108,548","7,142,857","7,282,837","7,227,946","7,336,700","7,411,030","7,533,391","7,502,557","7,583,093","7,659,255","7,756,993","7,798,311","7,980,795","8,034,684","8,186,808","8,240,892","8,427,264","8,523,698","8,720,797","8,818,065","8,999,078","9,110,733","9,183,279","9,175,343","9,336,819","9,433,431","9,597,297","9,628,337","9,732,937","9,815,319","10,027,197","10,022,204","10,174,923","10,275,123","10,394,242","10,764,480","10,749,306","10,666,642","10,627,005","10,610,720","10,662,987","10,735,821","11,068,802","11,181,416","11,592,533","11,815,857","12,031,437","12,010,013","12,089,622","12,131,392","12,234,196","12,198,669","12,322,508"
  Securities,"652,721","657,010","657,411","673,754","678,812","680,846","695,057","737,998","745,002","775,747","825,189","852,140","869,843","894,822","915,695","942,399","945,730","956,106","970,008","982,027","965,466","957,867","938,598","918,548","878,896","880,309","885,901","890,402","897,117","894,767","916,020","944,560","971,358","993,857","1,018,622","1,040,581","1,067,473","1,074,390","1,090,639","1,113,275","1,142,599","1,140,553","1,133,195","1,113,336","1,099,246","1,095,325","1,109,036","1,099,487","1,090,751","1,085,994","1,071,792","1,063,012","1,071,213","1,078,577","1,082,969","1,120,560","1,154,490","1,146,060","1,178,198","1,249,369","1,283,614","1,297,720","1,319,421","1,337,930","1,339,655","1,325,423","1,337,956","1,360,957","1,328,589","1,335,492","1,382,480","1,465,247","1,488,219","1,530,233","1,589,424","1,633,335","1,694,983","1,762,630","1,702,254","1,770,747","1,907,832","1,874,571","1,796,092","1,859,782","1,887,662","1,888,572","1,890,280","1,893,107","1,956,170","1,970,905","1,992,387","1,980,922","1,972,376","1,977,420","1,989,103","1,954,146","1,953,045","2,017,365","2,021,287","2,032,325","2,206,192","2,336,948","2,396,669","2,500,369","2,531,571","2,527,818","2,642,725","2,667,805","2,723,275","2,721,869","2,788,237","2,850,342","2,930,546","2,937,385","2,986,431","3,009,958","2,998,531","2,945,330","2,957,632","3,001,764","3,054,515","3,113,095","3,166,081","3,218,963","3,267,345","3,278,018","3,303,911","3,353,557","3,384,938","3,420,967","3,507,739","3,559,771","3,583,868","3,568,971","3,615,280","3,631,820","3,598,894","3,633,319","3,630,098","3,723,095","3,724,380","3,779,177","3,936,180","3,981,633","4,210,534","4,515,796","4,793,031","5,112,405","5,479,322","5,728,172","5,953,171","6,245,863","6,260,348","6,148,305","5,923,641","5,883,583","5,611,165","5,436,071","5,303,500","5,434,716","5,474,624","5,457,825"
    Available for sale (fair value), N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"539,951","512,228","485,470","470,984","464,109","468,167","496,548","787,815","776,796","769,660","760,826","764,418","781,284","797,267","806,814","854,302","897,849","891,711","931,709","1,012,310","1,046,617","1,058,740","1,085,272","1,097,913","1,102,704","1,088,260","1,107,987","1,133,606","1,152,896","1,166,653","1,220,981","1,301,143","1,322,715","1,365,827","1,423,088","1,469,218","1,527,863","1,601,690","1,532,580","1,595,695","1,723,004","1,687,305","1,608,588","1,662,364","1,690,906","1,691,616","1,691,176","1,693,224","1,759,680","1,783,118","1,806,546","1,802,876","1,777,667","1,801,575","1,799,374","1,777,292","1,794,691","1,846,224","1,781,241","1,805,286","1,949,921","2,070,814","2,134,099","2,265,974","2,304,909","2,313,012","2,429,208","2,453,256","2,501,319","2,497,444","2,540,250","2,590,813","2,669,237","2,661,649","2,699,573","2,705,231","2,678,974","2,598,029","2,544,790","2,509,546","2,513,475","2,527,304","2,548,130","2,579,592","2,585,577","2,566,702","2,579,317","2,577,105","2,587,787","2,590,866","2,658,782","2,671,489","2,643,360","2,584,358","2,604,291","2,603,586","2,592,552","2,559,321","2,523,173","2,589,566","2,606,909","2,678,299","2,829,606","2,945,187","3,244,691","3,530,759","3,648,390","3,761,275","3,836,512","3,809,276","3,935,763","4,110,736","3,828,655","3,446,896","3,187,262","3,079,351","2,950,384","2,832,517","2,755,402","2,929,588","3,024,736","3,044,467"
    Held to maturity (amortized cost), N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"602,648","628,325","647,725","642,352","635,137","627,158","612,488","311,672","313,955","316,334","310,965","298,676","289,928","281,310","276,155","266,259","256,641","254,349","246,490","237,059","236,997","238,980","234,149","240,017","236,951","237,163","229,969","227,351","175,693","168,839","161,499","164,104","165,504","164,406","166,336","164,117","167,120","160,940","169,674","175,053","184,828","187,266","187,504","197,418","196,756","196,956","199,104","199,883","196,489","187,786","185,841","178,046","194,709","175,845","189,729","176,854","158,353","171,141","240,046","227,039","256,271","266,134","262,570","234,395","226,662","214,807","213,517","214,549","221,956","224,425","247,988","259,529","261,309","275,737","286,858","304,727","319,557","347,301","412,842","492,217","541,040","585,791","617,950","639,370","681,767","711,316","724,594","776,452","797,150","830,101","848,956","888,282","940,508","984,613","1,010,990","1,028,234","1,001,545","1,069,276","1,101,890","1,128,611","1,110,761","1,093,594","1,099,181","1,028,265","955,121","967,051","1,132,686","1,339,876","1,630,838","1,904,380","2,006,218","2,120,644","2,419,024","2,690,844","2,724,378","2,794,621","2,651,133","2,592,927","2,538,761","2,495,165","2,439,902","2,399,281"
    U.S. Treasury securities,"116,067","111,669","108,112","108,133","118,577","122,040","121,203","118,287","119,866","120,900","121,727","127,138","172,960","175,183","181,031","178,089","172,980","171,271","170,166","167,878","177,062","167,288","156,298","150,836","183,275","182,474","182,319","175,539","185,672","197,808","208,674","222,948","245,562","258,271","267,388","279,651","286,175","283,443","288,047","293,610","310,332","301,026","286,407","270,607","262,104","241,213","235,091","216,381","212,978","202,131","194,608","179,255","180,970","174,229","166,412","161,552","170,032","155,855","129,834","120,444","133,156","121,912","118,148","116,033","112,396","104,543","96,681","77,881","59,033","57,458","49,966","48,095","53,859","55,526","58,233","66,688","67,173","64,341","72,192","76,742","82,356","79,862","65,845","66,594","58,402","54,875","60,826","59,031","56,420","46,146","44,905","48,407","39,848","33,544","35,462","31,396","23,696","23,613","36,318","33,090","38,072","58,037","86,634","102,514","156,861","164,137","190,078","187,564","178,986","162,751","173,196","158,203","166,875","186,954","195,849","205,297","188,692","166,172","159,689","192,647","237,237","273,501","345,493","405,361","408,564","412,178","409,519","422,520","420,125","434,495","471,448","519,530","514,060","464,166","471,907","477,272","481,031","486,381","493,838","548,818","537,445","548,971","623,264","631,772","658,109","831,130","941,430","966,879","1,077,630","1,168,840","1,268,142","1,443,819","1,481,801","1,510,731","1,456,718","1,434,272","1,326,492","1,247,656","1,247,133","1,309,615","1,389,347","1,382,312"
    Mortgage-backed securities,"135,523","144,032","147,400","143,710","144,327","136,429","145,499","144,997","163,369","189,291","213,668","237,030","260,637","283,397","301,879","324,255","324,484","340,939","348,392","357,381","356,824","363,176","353,616","343,996","365,197","372,181","386,326","398,404","433,686","435,893","444,941","456,630","468,093","473,817","486,559","490,796","511,764","522,424","528,193","535,425","538,059","545,348","547,329","541,196","534,228","536,543","541,092","544,717","543,102","539,859","529,542","528,927","533,402","536,369","542,485","564,777","584,907","580,661","625,999","677,470","678,546","666,536","668,812","676,206","680,165","663,457","657,789","683,897","706,065","716,572","766,781","810,422","814,067","855,464","901,711","912,364","980,520","1,034,760","948,043","982,078","1,103,082","1,073,556","1,048,580","1,113,891","1,142,360","1,141,222","1,138,848","1,139,681","1,188,252","1,213,817","1,208,946","1,207,090","1,226,923","1,236,258","1,217,755","1,236,004","1,281,381","1,322,213","1,257,743","1,296,812","1,313,443","1,365,407","1,350,442","1,395,211","1,386,965","1,381,840","1,440,588","1,484,631","1,519,083","1,546,184","1,600,467","1,643,211","1,735,468","1,713,685","1,732,775","1,706,172","1,698,409","1,678,439","1,668,572","1,673,886","1,690,541","1,716,673","1,718,461","1,728,607","1,773,846","1,787,494","1,818,704","1,871,681","1,895,602","1,924,317","1,979,654","2,005,022","2,034,512","2,072,554","2,117,153","2,133,348","2,113,535","2,156,744","2,157,479","2,187,127","2,217,641","2,282,677","2,369,462","2,393,831","2,546,452","2,651,813","2,798,839","3,043,770","3,264,145","3,386,816","3,488,704","3,557,068","3,521,604","3,379,235","3,201,019","3,150,182","3,032,245","2,962,405","2,870,125","2,921,474","2,914,458","2,910,504"
    State and municipal securities,"123,541","120,842","119,895","122,319","118,916","120,541","127,575","162,346","151,167","146,760","154,928","142,066","134,237","129,997","126,177","122,324","117,626","113,858","111,917","107,730","104,976","101,625","100,516","95,581","94,082","90,375","89,502","85,965","82,902","79,205","77,053","75,530","74,293","73,409","74,259","73,634","73,695","74,944","77,546","79,773","80,887","80,429","80,009","79,161","77,717","76,529","76,096","76,034","76,180","75,584","75,714","76,964","76,963","77,244","77,666","78,989","80,268","82,585","86,475","90,014","91,736","91,606","92,020","92,787","93,095","93,855","93,995","96,512","97,695","98,038","99,784","100,982","101,390","103,282","106,488","108,333","109,785","114,813","116,566","116,717","118,038","117,027","119,858","119,067","120,994","124,951","127,966","131,362","134,376","135,488","140,222","147,051","150,036","152,971","156,912","153,250","151,722","149,546","144,834","151,803","154,003","163,664","165,915","163,426","165,873","168,050","176,010","182,127","186,577","192,678","204,413","217,826","225,564","240,883","250,924","261,506","267,479","274,325","284,018","291,923","299,387","305,076","308,673","314,614","322,933","328,732","335,247","341,170","344,394","352,864","357,502","360,291","363,912","369,082","368,481","369,664","354,559","347,562","333,481","329,616","322,004","307,514","308,460","313,360","331,247","342,358","355,858","375,936","386,724","401,802","411,984","423,815","415,906","404,955","389,629","383,951","367,089","348,520","326,500","333,453","318,017","309,776"
    Equity securities,"2,531","2,530","2,430","2,263","4,090","4,146","4,306","4,460","4,614","5,219","5,695","5,979","6,496","6,561","6,460","6,125","6,692","8,716","9,216","9,297","18,898","18,851","18,678","18,449","17,337","16,945","15,927","15,298","16,065","15,992","17,023","17,790","18,631","18,596","18,774","18,852","19,632","19,962","21,540","23,468","22,868","22,013","22,011","21,987","22,751","24,436","25,462","25,995","27,370","27,795","29,035","30,639","31,063","33,029","33,733","35,046","37,138","38,042","39,776","43,199","42,941","43,295","43,902","47,342","49,552","49,680","50,471","51,734","26,614","26,930","27,867","30,891","32,058","30,859","28,984","33,958","29,238","30,864","27,373","27,157","26,870","25,847","24,618","25,849","23,426","21,951","22,324","22,942","21,102","22,647","24,327","26,649","24,018","24,868","28,238","29,037","29,556","27,282","21,882","27,260","44,812","42,878","29,690","25,809","19,361","18,801","18,016","19,611","16,953","15,932","17,196","15,638","12,593","13,042","13,109","16,637","17,931","13,413","14,656","14,282","16,501","18,169","14,620","14,049","11,717","12,459","11,462","11,149","12,228","12,181","10,210","9,554","9,708","8,410","8,949","9,558","3,870","3,582","3,387","2,993","1,325","1,358","1,275",743,736,53,13, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
  Cash and due from depository institutions,"335,789","334,022","312,948","340,804","327,681","340,407","345,928","360,350","349,403","357,484","349,077","404,657","369,167","365,253","351,631","381,656","352,957","361,302","368,351","381,440","356,886","358,327","351,566","372,561","360,406","355,219","338,089","358,036","299,786","319,741","337,720","341,342","318,565","309,963","297,548","332,889","295,952","296,360","298,073","304,269","298,959","299,700","301,109","328,767","297,384","306,423","299,020","333,329","299,061","311,912","328,201","359,694","329,542","349,342","340,614","379,400","355,924","357,544","332,456","386,864","340,056","355,099","346,834","395,024","343,711","365,318","356,403","397,691","393,686","418,668","428,589","426,056","374,707","398,293","417,893","424,457","419,380","464,793","424,835","426,269","443,672","481,481","453,016","421,696","426,009","418,001","419,581","435,357","405,823","433,702","431,060","469,851","434,646","491,785","482,344","524,161","554,410","561,846","736,432","1,103,094","1,050,871","936,366","1,036,901","1,049,170","1,104,465","1,078,264","1,026,542","990,765","1,156,166","1,319,205","1,318,582","1,289,142","1,336,453","1,333,432","1,338,931","1,426,119","1,523,189","1,535,026","1,710,163","1,705,256","1,815,293","1,843,196","1,902,109","1,921,812","2,004,491","1,846,451","1,790,064","1,757,590","1,879,311","1,842,146","1,879,259","1,810,001","1,968,764","1,871,758","1,925,613","1,916,161","1,958,927","1,832,479","1,838,829","1,694,544","1,699,778","1,618,340","1,626,706","1,667,335","2,405,713","2,885,673","2,829,511","3,188,532","3,628,887","3,520,980","3,647,905","3,559,273","3,375,812","2,821,742","2,690,205","2,578,251","2,841,829","2,703,749","2,703,877","2,847,121","2,926,117","2,731,249"
  Federal  funds sold and reverse repurchase agreements,"99,275","100,056","98,432","113,815","105,796","115,902","126,305","137,329","140,187","141,230","132,765","143,517","134,682","140,006","136,914","133,847","149,367","143,281","143,781","131,331","143,533","146,821","136,634","152,073","169,693","171,892","168,699","161,826","165,152","170,078","180,870","162,860","176,776","164,346","166,316","170,827","163,104","156,373","157,847","160,866","161,913","149,539","146,715","155,362","161,088","172,971","165,752","192,087","184,154","169,418","167,524","174,088","265,380","255,058","273,828","271,008","287,813","284,422","304,123","293,070","281,343","271,917","237,372","236,900","260,242","255,340","238,880","295,032","349,378","342,557","371,821","345,118","341,828","346,342","355,574","339,161","379,095","398,383","384,444","352,830","379,279","380,962","408,941","406,160","430,696","413,421","450,362","463,974","515,534","516,397","577,111","560,636","617,998","575,178","620,237","691,705","752,290","727,014","748,091","722,826","631,277","545,410","492,936","413,749","417,752","428,801","449,854","459,655","425,745","420,268","479,267","465,267","451,447","469,229","508,223","508,049","449,314","431,328","428,093","425,773","415,746","404,010","371,607","358,038","379,329","373,151","375,516","364,820","380,446","395,302","422,479","400,479","378,079","404,888","385,904","430,361","462,223","440,200","466,101","621,510","604,245","607,301","560,754","562,754","587,454","811,356","769,031","782,619","571,518","580,410","589,488","599,148","647,396","647,202","648,599","638,969","669,221","600,418","606,150","619,789","606,662","635,137"
  Bank premises and fixed assets,"48,984","49,822","50,434","51,086","51,709","52,471","53,408","54,483","55,202","55,809","56,571","57,609","58,367","59,127","60,133","61,245","61,789","62,315","62,675","63,163","62,702","62,901","63,437","64,218","64,002","64,461","64,700","65,408","64,800","64,465","64,184","64,650","64,581","65,089","65,010","64,573","65,080","65,618","66,252","66,647","67,170","68,047","69,012","69,924","70,676","71,228","71,807","72,209","72,580","73,748","74,767","75,772","76,150","76,630","77,063","78,002","78,824","79,670","80,909","82,418","82,925","83,787","84,024","85,469","85,738","86,129","86,493","87,871","88,101","88,791","89,498","89,124","89,514","90,453","91,158","92,496","94,135","94,544","95,930","97,480","98,197","99,275","99,478","101,234","102,166","103,565","104,750","106,504","107,545","109,000","109,024","111,937","113,433","115,820","117,529","120,083","121,063","121,862","119,617","121,942","122,521","123,048","121,662","121,145","120,501","119,440","119,488","121,087","120,666","121,157","120,828","121,571","121,253","121,432","121,371","121,508","120,017","120,190","120,346","120,635","120,606","120,705","120,110","120,300","119,495","119,478","119,287","119,689","118,999","119,237","119,139","120,196","123,908","124,279","124,413","125,945","126,098","126,711","127,723","129,828","177,939","181,279","182,701","187,428","187,757","187,807","188,292","188,487","187,482","186,647","186,369","186,811","188,152","187,936","187,945","191,059","191,117","191,153","191,265","192,961","192,841","193,785"
  Other real estate owned,"9,488","9,749","10,446","10,836","12,832","13,824","14,804","15,450","17,010","18,401","20,333","21,521","24,093","25,813","27,831","29,571","31,468","33,204","37,745","35,958","31,097","31,546","32,591","34,185","35,605","36,975","40,442","44,363","47,912","46,182","45,661","46,750","46,809","45,879","44,272","40,699","39,411","34,369","29,680","23,911","21,759","19,048","16,985","13,982","11,990","11,027","10,507","9,217","8,874","8,302","7,640","7,193","6,993","6,618","6,339","5,877","5,726","5,294","5,061","4,726","4,667","4,268","4,147","3,920","3,917","3,891","3,890","3,907","4,063","4,235","4,507","4,622","4,876","4,910","5,040","5,255","5,437","5,520","5,519","5,318","5,265","4,957","4,647","4,285","4,243","4,093","4,139","4,081","5,117","5,218","5,567","6,057","6,971","7,995","9,818","12,127","15,648","18,900","22,236","26,498","29,689","33,929","37,161","41,229","46,334","49,543","53,179","52,611","52,423","51,286","50,499","46,049","44,792","41,752","41,039","38,470","35,894","32,626","31,818","30,208","27,872","26,291","24,894","21,982","19,341","17,517","16,116","14,704","14,050","13,154","11,781","10,933","10,370","9,630","9,101","8,457","8,132","7,612","7,187","6,687","6,555","6,365","6,190","5,709","5,590","5,021","4,548","4,626","4,432","4,149","3,817","2,962","2,935","2,807","2,731","2,593","2,687","2,841","2,891","2,870","2,980","3,394"
  Trading account assets,"22,674","17,956","27,298","28,610","27,331","30,657","33,271","40,511","45,014","43,423","44,642","43,155","43,478","39,054","36,880","32,813","42,196","38,506","42,165","35,643","42,205","41,082","37,799","43,054","50,380","51,552","53,545","49,050","54,690","58,148","72,247","67,891","79,315","83,710","90,041","82,061","95,742","104,180","115,415","124,599","223,113","229,311","208,306","194,499","258,835","221,019","224,460","217,823","208,668","219,817","229,718","241,788","256,829","272,014","295,504","297,772","306,272","302,252","308,183","287,651","270,193","233,509","236,973","258,329","287,635","272,052","280,053","304,753","322,608","315,646","353,374","304,761","316,684","383,302","387,618","398,788","394,967","410,071","411,185","449,959","452,847","429,414","470,283","513,170","522,351","534,322","532,836","512,548","557,488","606,642","596,205","625,246","687,564","732,442","811,452","876,076","1,011,265","893,382","905,611","946,729","803,834","729,037","785,080","711,898","691,369","678,920","769,355","725,115","736,135","696,890","761,433","717,023","709,217","688,745","719,290","723,811","719,187","658,869","617,090","615,954","598,100","603,761","640,652","655,625","661,584","591,197","576,010","541,621","585,592","604,398","579,018","551,523","578,513","597,200","598,112","569,216","597,147","595,867","597,132","571,950","666,341","694,703","706,182","658,807","796,216","758,423","746,096","731,744","782,207","790,674","805,513","723,751","848,943","806,530","824,078","729,470","796,596","865,870","857,365","758,694","934,773","930,967"
  Intangible assets,"25,454","26,445","27,203","28,118","28,875","29,412","29,859","30,628","30,807","31,302","31,547","31,425","32,289","33,894","34,199","34,482","34,213","34,883","34,014","32,652","27,750","27,351","26,232","24,680","23,729","24,539","24,707","24,950","24,677","23,767","23,961","23,116","22,113","23,391","23,094","22,820","23,211","23,390","22,921","24,033","23,991","26,007","28,342","29,755","32,643","33,286","35,381","37,084","39,202","50,983","51,665","52,947","64,379","67,206","69,219","72,674","78,048","88,844","91,137","94,432","98,153","100,988","102,557","112,879","116,631","118,068","121,181","120,792","120,157","126,495","134,881","143,700","158,046","153,542","145,737","153,115","156,816","158,828","170,496","189,480","188,941","240,388","293,352","315,992","325,951","322,363","329,458","344,555","380,790","390,400","387,895","413,438","423,534","435,895","461,068","461,743","469,181","481,433","482,029","420,325","403,133","411,077","404,371","408,029","404,590","389,530","384,121","393,721","394,454","388,396","372,713","368,005","371,393","366,715","364,142","366,538","367,041","367,074","367,119","368,318","365,490","365,579","363,935","360,176","355,861","360,000","356,958","360,397","359,027","359,511","363,423","369,231","370,341","376,687","377,925","383,247","388,640","391,631","396,983","398,637","399,196","397,037","393,917","408,720","391,671","386,433","385,499","386,757","392,019","393,758","396,653","404,357","415,297","421,404","425,507","430,071","435,451","435,982","436,159","423,252","422,871","417,058"
Mortgage Servicing Assets, N/A , N/A , N/A , N/A , N/A ,599,739,787,822,852,930,"1,035","2,115","2,241","2,464","2,529","2,641","2,898","3,144","3,152","3,147","3,040","3,160","3,234","3,228","3,278","3,350","3,710","3,673","3,756","3,907","3,849","3,856","3,915","3,699","3,380","3,104","3,007","2,978","3,237","3,416","3,945","4,715","5,061","5,798","6,019","6,644","6,966","7,302","9,451","9,950","10,380","11,988","12,720","13,138","14,045","14,927","16,190","16,154","18,557","21,624","24,404","25,697","31,729","33,186","33,992","35,256","33,158","29,777","33,500","30,315","33,477","36,850","31,916","23,374","24,062","24,000","21,858","29,584","33,636","30,032","42,418","39,565","39,678","43,364","39,015","46,448","51,169","56,444","61,259","58,634","56,151","61,220","67,849","66,739","62,856","59,838","72,850","82,107","55,606","56,647","72,597","68,851","75,320","74,289","60,361","53,741","66,140","68,023","62,353","46,309","44,931","47,670","41,476","38,936","40,892","43,175","48,008","48,407","49,782","47,067","44,453","44,409","40,809","38,181","41,876","38,804","39,927","35,890","33,178","33,713","40,700","40,163","39,137","39,595","40,519","43,051","43,926","46,123","43,768","41,341","37,956","35,254","37,085","28,484","26,555","26,359","27,058","32,842","32,269","34,036","34,981","41,626","44,654","48,183","47,537","46,032","46,419","48,721","45,429","45,572","45,189"
Fair Value-mtg Servicing Assets, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"11,023","11,146","11,850","12,343","12,719","12,459","14,993","17,259","20,189","21,411","28,573","30,111","31,041","30,944","27,272","21,951","21,931","18,966","23,618","26,150","22,542","16,581","16,144","17,268","15,696","22,193","25,817","23,148","33,520","31,980","31,988","35,050","31,629","37,866","42,046","45,952","50,346","50,521","47,502","51,854","57,753","56,768","52,806","49,249","60,542","77,872","51,850","51,774","69,442","65,887","73,311","72,221","58,252","51,788","63,979","66,037","60,342","44,430","43,037","48,658","42,580","40,313","41,906","44,319","49,352","49,888","51,276","48,578","45,923","45,949","42,117","39,303","43,210","40,037","41,255","37,097","34,188","36,167","43,185","41,835","40,819","41,241","42,265","45,339","46,386","48,780","46,171","43,320","39,365","36,796","38,861","29,657","27,558","27,443","28,201","34,956","33,306","35,158","36,424","43,918","47,576","51,334","50,467","49,004","49,371","51,764","48,210","48,423","48,112"
